iter	Passed	Remaining
0	11	1736
1	22	1676
2	33	1640
3	44	1633
4	55	1615
5	67	1608
6	79	1619
7	90	1610
8	101	1590
9	112	1580
10	123	1566
11	134	1551
12	146	1542
13	157	1533
14	169	1523
15	180	1513
16	192	1502
17	202	1487
18	214	1477
19	225	1466
20	236	1452
21	248	1444
22	259	1434
23	271	1423
24	282	1413
25	294	1404
26	306	1394
27	316	1380
28	328	1370
29	339	1359
30	350	1346
31	362	1338
32	375	1329
33	385	1316
34	396	1304
35	408	1292
36	419	1279
37	430	1269
38	441	1257
39	442	1217
40	453	1206
41	465	1195
42	476	1186
43	488	1175
44	498	1164
45	510	1153
46	521	1143
47	532	1131
48	544	1122
49	555	1111
50	567	1100
51	579	1091
52	590	1080
53	601	1068
54	612	1057
55	623	1047
56	634	1035
57	646	1024
58	657	1014
59	669	1004
60	680	992
61	691	982
62	703	970
63	713	959
64	725	948
65	736	936
66	747	925
67	758	915
68	770	904
69	781	893
70	794	883
71	805	872
72	816	860
73	827	849
74	838	838
75	849	827
76	861	816
77	872	805
78	883	794
79	894	782
80	905	771
81	917	760
82	928	749
83	939	738
84	950	727
85	961	715
86	973	705
87	985	694
88	996	682
89	1007	671
90	1018	660
91	1029	649
92	1041	638
93	1052	627
94	1064	616
95	1075	605
96	1087	593
97	1098	582
98	1108	571
99	1120	560
100	1131	548
101	1142	537
102	1153	526
103	1165	515
104	1176	504
105	1188	493
106	1199	482
107	1210	470
108	1221	459
109	1233	448
110	1244	437
111	1256	426
112	1267	415
113	1278	403
114	1290	392
115	1304	382
116	1315	371
117	1326	359
118	1337	348
119	1349	337
120	1360	326
121	1372	314
122	1383	303
123	1394	292
124	1405	281
125	1417	269
126	1428	258
127	1439	247
128	1451	236
129	1464	225
130	1475	213
131	1486	202
132	1497	191
133	1508	180
134	1519	168
135	1530	157
136	1541	146
137	1553	135
138	1565	123
139	1576	112
140	1588	101
141	1600	90
142	1610	78
143	1621	67
144	1632	56
145	1644	45
146	1655	33
147	1667	22
148	1678	11
149	1689	0
