iter	MAE
0	7.690755802
1	7.443869596
2	7.19858825
3	7.037058969
4	6.845900012
5	6.681272203
6	6.541996982
7	6.378790136
8	6.240921004
9	6.072806808
10	5.982776885
11	5.853475298
12	5.758506648
13	5.634348573
14	5.573529472
15	5.518472211
16	5.463228786
17	5.392194667
18	5.355969545
19	5.304251049
20	5.259855136
21	5.183524468
22	5.12864833
23	5.093563088
24	5.053555625
25	5.030860511
26	4.999146747
27	4.970165431
28	4.931721831
29	4.890961966
30	4.858884523
31	4.822921138
32	4.788381349
33	4.704240322
34	4.678334131
35	4.620978147
36	4.567654744
37	4.549207674
38	4.51725628
39	4.511805419
40	4.477599281
41	4.454129076
42	4.429233822
43	4.409914678
44	4.394682536
45	4.372724965
46	4.337912584
47	4.313473569
48	4.29448496
49	4.276501646
50	4.231763281
51	4.198608617
52	4.187355836
53	4.16567653
54	4.132848001
55	4.088538245
56	4.06748824
57	4.04285345
58	4.021925666
59	3.975119333
60	3.948002444
61	3.917252654
62	3.88410613
63	3.860231979
64	3.821421111
65	3.806659432
66	3.791004941
67	3.761615444
68	3.736174878
69	3.712836118
70	3.679765936
71	3.644488029
72	3.623936803
73	3.582021645
74	3.559820325
75	3.52568572
76	3.499565159
77	3.477321038
78	3.464394207
79	3.449840182
80	3.393964102
81	3.382716106
82	3.367845024
83	3.34814997
84	3.331909289
85	3.302766438
86	3.287011499
87	3.262826322
88	3.235287606
89	3.201758496
90	3.181632947
91	3.163315964
92	3.157520089
93	3.139572497
94	3.114889134
95	3.104412098
96	3.091366827
97	3.078451375
98	3.021237707
99	3.01149752
100	2.980954619
101	2.951228222
102	2.937449413
103	2.92250915
104	2.913464476
105	2.890107465
106	2.859702865
107	2.824154295
108	2.804851062
109	2.785128401
110	2.78147325
111	2.746539736
112	2.742694255
113	2.721705774
114	2.707516988
115	2.696437764
116	2.684939067
117	2.662305761
118	2.625799638
119	2.61662744
120	2.603467154
121	2.587969985
122	2.564814295
123	2.555839945
124	2.5397222
125	2.531367555
126	2.528624885
127	2.516926939
128	2.503782903
129	2.485597513
130	2.470408529
131	2.459189469
132	2.455348486
133	2.442995158
134	2.431974609
135	2.421279277
136	2.418082254
137	2.404248764
138	2.390351897
139	2.381289249
140	2.371403437
141	2.361601183
142	2.357945694
143	2.351491044
144	2.341850828
145	2.338371941
146	2.314887375
147	2.301130757
148	2.29069071
149	2.285089272
