iter	Passed	Remaining
0	0	872
1	1	757
2	2	714
3	2	689
4	3	690
5	4	693
6	5	717
7	5	717
8	6	740
9	7	738
10	8	736
11	8	730
12	9	732
13	10	724
14	10	715
15	11	707
16	12	705
17	12	698
18	13	691
19	13	684
20	14	677
21	15	670
22	15	665
23	16	661
24	16	657
25	17	653
26	18	650
27	18	646
28	19	641
29	19	637
30	20	634
31	20	630
32	21	626
33	21	623
34	22	621
35	23	620
36	23	618
37	24	616
38	24	615
39	25	614
40	26	613
41	26	612
42	27	611
43	28	611
44	28	609
45	29	607
46	29	605
47	30	603
48	31	602
49	31	600
50	32	599
51	32	598
52	33	597
53	34	596
54	34	594
55	35	592
56	35	591
57	36	589
58	36	588
59	37	587
60	38	586
61	38	585
62	39	584
63	39	583
64	40	583
65	41	585
66	41	584
67	42	583
68	43	582
69	43	581
70	44	580
71	44	579
72	45	577
73	46	576
74	46	575
75	47	574
76	47	573
77	48	572
78	49	571
79	49	570
80	50	569
81	50	568
82	51	567
83	51	566
84	52	566
85	53	565
86	53	565
87	54	564
88	55	564
89	55	565
90	56	566
91	57	567
92	58	567
93	58	566
94	59	566
95	60	565
96	60	564
97	61	563
98	61	563
99	62	562
100	63	563
101	63	563
102	64	562
103	65	561
104	65	560
105	66	559
106	66	558
107	68	561
108	68	562
109	69	563
110	70	562
111	70	562
112	71	561
113	72	560
114	72	560
115	73	560
116	74	559
117	74	558
118	75	557
119	75	556
120	76	557
121	77	555
122	77	555
123	78	554
124	79	553
125	79	554
126	80	556
127	81	555
128	82	555
129	82	554
130	83	553
131	84	552
132	84	551
133	85	550
134	85	549
135	86	548
136	87	548
137	87	547
138	88	546
139	88	545
140	89	546
141	90	544
142	90	543
143	91	543
144	92	542
145	92	542
146	93	542
147	94	541
148	94	541
149	95	540
150	96	540
151	96	539
152	97	538
153	97	537
154	98	537
155	99	536
156	99	535
157	100	535
158	101	534
159	101	533
160	102	533
161	102	532
162	103	531
163	104	531
164	104	530
165	105	529
166	106	530
167	106	529
168	107	528
169	108	528
170	108	527
171	109	526
172	109	525
173	110	524
174	111	523
175	111	523
176	112	522
177	112	521
178	113	520
179	114	519
180	114	518
181	115	517
182	115	516
183	116	515
184	116	514
185	117	514
186	118	513
187	118	512
188	119	511
189	119	510
190	120	510
191	121	509
192	121	509
193	122	508
194	123	507
195	123	507
196	124	506
197	125	506
198	125	505
199	126	505
200	126	504
201	127	503
202	127	502
203	128	501
204	129	500
205	129	499
206	130	499
207	130	498
208	131	497
209	132	496
210	132	495
211	133	494
212	133	494
213	134	493
214	134	492
215	135	491
216	136	490
217	136	490
218	137	489
219	137	489
220	138	488
221	139	488
222	139	487
223	140	486
224	141	486
225	141	485
226	142	484
227	143	484
228	143	483
229	144	482
230	144	482
231	145	481
232	145	480
233	146	479
234	147	478
235	147	478
236	148	477
237	149	477
238	149	476
239	150	476
240	150	475
241	151	475
242	152	474
243	153	474
244	153	474
245	154	473
246	155	473
247	155	472
248	156	471
249	157	471
250	157	470
251	158	469
252	158	469
253	159	468
254	160	467
255	161	468
256	161	467
257	162	467
258	163	467
259	164	466
260	164	466
261	165	466
262	166	465
263	166	465
264	167	464
265	168	463
266	168	463
267	169	462
268	170	462
269	171	462
270	171	462
271	172	462
272	173	461
273	174	461
274	175	461
275	175	461
276	176	461
277	177	461
278	178	460
279	179	460
280	179	460
281	180	460
282	181	460
283	182	460
284	183	459
285	184	459
286	185	459
287	185	459
288	186	459
289	187	459
290	188	458
291	189	458
292	189	458
293	190	458
294	191	457
295	192	457
296	193	457
297	193	456
298	194	456
299	195	455
300	196	455
301	197	455
302	197	455
303	198	454
304	199	453
305	199	453
306	200	452
307	201	452
308	202	452
309	202	451
310	203	451
311	204	450
312	205	450
313	205	449
314	206	448
315	207	448
316	207	447
317	208	446
318	208	445
319	209	445
320	210	444
321	210	443
322	211	442
323	211	441
324	212	441
325	213	440
326	213	439
327	214	438
328	214	438
329	215	437
330	215	436
331	216	435
332	217	434
333	217	434
334	218	433
335	218	432
336	219	431
337	219	430
338	220	429
339	221	429
340	221	428
341	222	427
342	222	426
343	223	425
344	223	424
345	224	424
346	224	423
347	225	422
348	225	421
349	226	420
350	227	419
351	227	418
352	228	418
353	228	417
354	229	416
355	229	415
356	230	415
357	231	414
358	231	413
359	232	413
360	232	412
361	233	411
362	234	411
363	234	410
364	235	409
365	235	408
366	236	408
367	237	407
368	237	406
369	238	405
370	238	404
371	239	404
372	239	403
373	240	402
374	240	401
375	241	400
376	242	400
377	242	399
378	243	398
379	243	397
380	244	396
381	244	396
382	245	395
383	246	394
384	246	394
385	247	393
386	247	392
387	248	391
388	248	390
389	249	390
390	250	390
